"Value","Landuse"
0000,PAST
1100,UTRN
1110,URHD
1120,URMD
1121,URHD
1122,URLD
1123,URLD
1210,UIDU
1221,UTRN
1222,UTRN
1223,UTRN
1224,UTRN
1226,UTRN
1228,UTRN
1229,UTRN
1240,URLD
1242,UTRN
1310,RNGB
1340,UIDU
1341,URLD
1420,URLD
1421,URLD
1422,URLD
2112,AGRL
2116,ORCD
2117,AGRL
2118,PAST
2119,PAST
2115,PAST
2222,ONIO
2300,PAST
2310,URLD
2430,PAST
3100,FRST
3110,FRSD
3120,FRSE
3130,FRST
3210,PAST
3220,RNGB
3250,RNGB
3310,RNGB
3330,RNGB
4110,WETN
4112,WETN
4120,WETN
4130,WETN
4210,WETN
5120,WATR
5121,WATR
5123,WATR
5126,WATR
5230,WATR
6000,PAST
